Date,Open,High,Low,Close,Adj Close,Volume
2019-04-12,77400.0,78800.0,77400.0,78100.0,73773.9453125,2317264
2019-04-15,79000.0,79900.0,78600.0,79700.0,75285.3125,2019931
2019-04-16,79900.0,80800.0,79100.0,80400.0,75946.546875,2206997
2019-04-17,81000.0,82300.0,80000.0,80200.0,75757.625,2886956
2019-04-18,80800.0,81200.0,78500.0,79200.0,74813.015625,3295697
2019-04-19,80500.0,82400.0,80100.0,81800.0,77268.9921875,3040186
2019-04-22,81500.0,81800.0,79900.0,80500.0,76041.0,1887109
2019-04-23,81000.0,81800.0,80400.0,81000.0,76513.296875,1779318
2019-04-24,81500.0,81500.0,77500.0,78500.0,74151.78125,5318487
2019-04-25,78400.0,81500.0,78100.0,80200.0,75757.625,5586360
2019-04-26,78500.0,79900.0,77600.0,78600.0,74246.25,5183181
2019-04-29,78700.0,80100.0,78200.0,80000.0,75568.6796875,2987384
2019-04-30,79400.0,80700.0,78100.0,79000.0,74624.0859375,2960242
2019-05-02,79700.0,81200.0,79100.0,80700.0,76229.921875,3092434
2019-05-03,81100.0,81300.0,80300.0,80400.0,75946.546875,2481811
2019-05-07,79200.0,80400.0,78700.0,79900.0,75474.234375,2700371
2019-05-08,78700.0,80500.0,78000.0,80300.0,75852.0703125,2731620
2019-05-09,79600.0,79700.0,75200.0,76000.0,71790.2734375,5939278
2019-05-10,76100.0,76700.0,73400.0,74400.0,70278.875,5702537
2019-05-13,73900.0,75000.0,72800.0,73500.0,69428.7265625,3062929
2019-05-14,72200.0,75100.0,71600.0,74600.0,70467.8125,3712697
2019-05-15,74800.0,75100.0,73900.0,74500.0,70373.34375,2056131
2019-05-16,74400.0,75100.0,71600.0,71900.0,67917.3671875,3467027
2019-05-17,72500.0,73300.0,71400.0,71600.0,67633.984375,2412668
2019-05-20,71800.0,72800.0,70700.0,70900.0,66972.75,1970694
2019-05-21,70500.0,72200.0,69700.0,70300.0,66405.984375,3893536
2019-05-22,71300.0,71300.0,68500.0,68900.0,65083.55078125,3128787
2019-05-23,68400.0,69100.0,67300.0,68000.0,64233.390625,3108370
2019-05-24,67300.0,68600.0,67000.0,67600.0,63855.5546875,3339145
2019-05-27,67900.0,68200.0,66400.0,66900.0,63194.32421875,2214176
2019-05-28,67200.0,68300.0,65900.0,65900.0,62249.71875,12052399
2019-05-29,65600.0,66700.0,64900.0,66100.0,62438.62890625,6056903
2019-05-30,66300.0,66900.0,65800.0,65900.0,62249.71875,3023108
