Date,Open,High,Low,Close,Adj Close,Volume
2019-04-12,121500.0,122000.0,119500.0,119500.0,117681.2421875,953216
2019-04-15,119000.0,120000.0,118000.0,119500.0,117681.2421875,596131
2019-04-16,119500.0,120500.0,119000.0,119500.0,117681.2421875,973625
2019-04-17,120000.0,120000.0,119000.0,119500.0,117681.2421875,639441
2019-04-18,119000.0,120000.0,117000.0,118000.0,116204.0859375,776721
2019-04-19,119000.0,119000.0,117500.0,118000.0,116204.0859375,247009
2019-04-22,118000.0,119500.0,117500.0,118000.0,116204.0859375,531346
2019-04-23,119000.0,121000.0,119000.0,120500.0,118666.0390625,815629
2019-04-24,122000.0,122500.0,119500.0,121000.0,119158.421875,906235
2019-04-25,122000.0,122000.0,120000.0,120500.0,118666.0390625,720472
2019-04-26,120000.0,120500.0,117500.0,118000.0,116204.0859375,544042
2019-04-29,118500.0,120000.0,117000.0,120000.0,118173.640625,429353
2019-04-30,119000.0,120000.0,117500.0,119500.0,117681.2421875,569162
2019-05-02,119000.0,124000.0,118500.0,122000.0,120143.203125,691901
2019-05-03,122000.0,124500.0,121500.0,124000.0,122112.765625,705503
2019-05-07,122000.0,125500.0,121500.0,124000.0,122112.765625,696627
2019-05-08,122000.0,124000.0,122000.0,123500.0,121620.3671875,317483
2019-05-09,122500.0,124000.0,119000.0,119000.0,117188.8671875,799208
2019-05-10,120500.0,123000.0,120000.0,122500.0,120635.59375,474352
2019-05-13,121500.0,124000.0,121500.0,122500.0,120635.59375,343827
2019-05-14,121000.0,123500.0,119500.0,122000.0,120143.203125,532037
2019-05-15,121500.0,123000.0,120000.0,120000.0,118173.640625,460936
2019-05-16,120500.0,121000.0,118000.0,119000.0,117188.8671875,484468
2019-05-17,120000.0,123500.0,118500.0,121000.0,119158.421875,439545
2019-05-20,121500.0,121500.0,118000.0,118500.0,116696.46875,449916
2019-05-21,117500.0,119500.0,113500.0,114500.0,112757.34375,603105
2019-05-22,115000.0,115000.0,111000.0,113000.0,111280.1796875,567069
2019-05-23,112500.0,114000.0,110000.0,113000.0,111280.1796875,545497
2019-05-24,113000.0,115000.0,112500.0,113500.0,111772.5703125,408081
2019-05-27,112500.0,113000.0,109500.0,110500.0,108818.2265625,369902
2019-05-28,109500.0,112500.0,108500.0,108500.0,106848.671875,1490526
2019-05-29,109000.0,111000.0,108500.0,109500.0,107833.4453125,515196
2019-05-30,110000.0,114000.0,109500.0,112000.0,110295.390625,378379
2019-05-31,111500.0,112500.0,110000.0,111500.0,109803.0078125,310649
2019-06-03,113000.0,115000.0,112000.0,115000.0,113249.734375,391824
2019-06-04,114000.0,114500.0,110500.0,111000.0,109310.6171875,531826
2019-06-05,112000.0,112500.0,109500.0,110500.0,108818.2265625,471689
2019-06-07,110000.0,112000.0,110000.0,111000.0,109310.6171875,386800
2019-06-10,111500.0,114500.0,111000.0,114000.0,112264.9609375,464590
2019-06-11,114000.0,114500.0,112500.0,113000.0,111280.1796875,423258
2019-06-12,112000.0,114500.0,112000.0,114000.0,112264.9609375,354664
2019-06-13,114500.0,115500.0,112000.0,113000.0,111280.1796875,551067
2019-06-14,112000.0,113000.0,110500.0,111500.0,109803.0078125,553083
2019-06-17,111500.0,111500.0,110000.0,110500.0,108818.2265625,475346
2019-06-18,109500.0,110000.0,106500.0,109000.0,107341.0625,791946
2019-06-19,110000.0,110000.0,107000.0,110000.0,108325.84375,483689
2019-06-20,110000.0,112000.0,109000.0,111500.0,109803.0078125,282163
2019-06-21,112500.0,115000.0,111500.0,113000.0,111280.1796875,555965
2019-06-24,113000.0,113500.0,112000.0,113500.0,111772.5703125,254210
2019-06-25,114000.0,116000.0,113000.0,114500.0,112757.34375,473961
2019-06-26,114500.0,116500.0,114000.0,115500.0,113742.1171875,300077
2019-06-27,115500.0,116000.0,113000.0,115000.0,113249.734375,375582
2019-06-28,114500.0,115500.0,112500.0,114000.0,112264.9609375,267404
2019-07-01,114500.0,115500.0,114000.0,114500.0,112757.34375,306736
2019-07-02,114000.0,115500.0,112000.0,115000.0,113249.734375,273980
2019-07-03,116000.0,118500.0,115000.0,117500.0,115711.6796875,408701
2019-07-04,116000.0,119500.0,116000.0,118000.0,116204.0859375,355658
2019-07-05,118500.0,121500.0,118500.0,121000.0,119158.421875,409700
2019-07-08,120500.0,121000.0,118000.0,118500.0,116696.46875,306897
2019-07-09,118000.0,120000.0,115000.0,115500.0,113742.1171875,460058
2019-07-10,116500.0,119000.0,115500.0,115500.0,113742.1171875,267438
2019-07-11,115500.0,118000.0,115500.0,117000.0,115219.3046875,293389
2019-07-12,117000.0,118500.0,116500.0,117000.0,115219.3046875,160685
2019-07-15,118000.0,120000.0,116500.0,118000.0,116204.0859375,263893
2019-07-16,119000.0,120500.0,117500.0,120000.0,118173.640625,391260
2019-07-17,120000.0,120000.0,118000.0,119000.0,117188.8671875,205316
2019-07-18,118500.0,122000.0,118500.0,120500.0,118666.0390625,267715
2019-07-19,121000.0,123000.0,121000.0,122500.0,120635.59375,445122
2019-07-22,122000.0,122500.0,120500.0,121000.0,119158.421875,346897
2019-07-23,122500.0,123000.0,122000.0,122500.0,120635.59375,358255
2019-07-24,122500.0,124500.0,122500.0,123500.0,121620.3671875,606769
2019-07-25,125500.0,134500.0,125000.0,134000.0,131960.5625,1635774
2019-07-26,137500.0,142000.0,136500.0,141000.0,138854.015625,1440686
2019-07-29,139500.0,141000.0,137000.0,138500.0,136392.09375,583629
2019-07-30,140000.0,140500.0,136500.0,138500.0,136392.09375,364674
2019-07-31,139000.0,139500.0,136000.0,138000.0,135899.671875,361525
2019-08-01,139500.0,141500.0,138500.0,140500.0,138361.640625,460049
2019-08-02,139000.0,142500.0,138500.0,142000.0,139838.8125,484009
2019-08-05,141000.0,142000.0,135500.0,138000.0,135899.671875,733982
2019-08-06,134000.0,140000.0,132000.0,138500.0,136392.09375,610095
2019-08-07,139000.0,139500.0,136000.0,137500.0,135407.28125,336416
2019-08-08,139500.0,142000.0,136500.0,140000.0,137869.265625,496443
2019-08-09,142000.0,145000.0,140500.0,142500.0,140331.1875,368133
2019-08-12,142500.0,144500.0,140500.0,140500.0,138361.640625,217292
2019-08-13,139000.0,144500.0,138500.0,142500.0,140331.1875,352863
2019-08-14,142500.0,143000.0,138500.0,139000.0,136884.453125,433070
2019-08-16,138500.0,140500.0,137500.0,139500.0,137376.875,351686
2019-08-19,139000.0,141000.0,138000.0,139000.0,136884.453125,487500
2019-08-20,139000.0,145500.0,139000.0,145500.0,143285.53125,556246
2019-08-21,144500.0,148500.0,142500.0,147500.0,145255.109375,514109
2019-08-22,148000.0,150500.0,147500.0,148000.0,145747.5,499537
2019-08-23,149000.0,149000.0,145500.0,148500.0,146239.875,491690
2019-08-26,145500.0,147000.0,143000.0,143500.0,141315.984375,423695
2019-08-27,144000.0,147500.0,141500.0,146500.0,144270.3125,904199
2019-08-28,146500.0,147500.0,144500.0,146500.0,144270.3125,309159
2019-08-29,146500.0,146500.0,143500.0,145000.0,142793.140625,408164
2019-08-30,146000.0,149000.0,144500.0,146500.0,144270.3125,424498
2019-09-02,156000.0,156000.0,147500.0,150000.0,147717.0625,371788
2019-09-03,151500.0,151500.0,149000.0,150500.0,148209.421875,308863
2019-09-04,149500.0,151000.0,149000.0,151000.0,148701.8125,351494
2019-09-05,150000.0,151000.0,145000.0,147000.0,144762.703125,548033
2019-09-06,146000.0,150000.0,145500.0,149500.0,147224.671875,223250
2019-09-09,149500.0,154000.0,148500.0,153000.0,150671.390625,464232
2019-09-10,153000.0,153000.0,150000.0,150500.0,148209.421875,297053
2019-09-11,150500.0,154000.0,150000.0,153500.0,151163.78125,738431
2019-09-16,154500.0,156500.0,153500.0,154500.0,152148.5625,449618
2019-09-17,153000.0,155500.0,153000.0,155000.0,152640.9375,304106
2019-09-18,156000.0,159500.0,155500.0,159000.0,156580.0625,465208
2019-09-19,157000.0,158000.0,156000.0,157500.0,155102.90625,377446
2019-09-20,156000.0,158000.0,156000.0,157000.0,154610.515625,390181
2019-09-23,157500.0,158000.0,155500.0,157000.0,154610.515625,204570
2019-09-24,157000.0,158500.0,155500.0,158000.0,155595.28125,195994
2019-09-25,155500.0,159000.0,155500.0,158000.0,155595.28125,274586
