Date,yhat,yhat_lower,yhat_upper
2024-04-24,79986.24245808498,77651.27923410415,82434.78640540008
2024-04-25,79919.91875709042,77481.59922587067,82230.8381000947
2024-04-26,79933.63042005773,77537.72737247062,82325.62299557502
2024-04-27,80010.31888394216,77577.6825400874,82296.10369667238
2024-04-28,79971.994148373,77533.32035669767,82411.84037205194
2024-04-29,79727.18509990917,77430.21945273405,82295.69999191651
2024-04-30,79840.93771857955,77309.83689134219,82280.88218785728
2024-05-01,79736.12139736842,77398.54950230768,82117.46255246528
2024-05-02,79723.12193151505,77491.1877449299,82069.79244579672
2024-05-03,79798.05652985543,77347.49532414136,82115.25598067878
2024-05-04,79942.75432955977,77565.30310646514,82278.84789581767
2024-05-05,79978.07573189933,77464.16017231514,82411.74554070787
2024-05-06,79811.38238631104,77537.21846226348,82161.322442607
2024-05-07,80006.55386417502,77641.93654585381,82392.06322976816
2024-05-08,79985.31095610147,77653.05793008253,82510.05660673171
2024-05-09,80056.92390971664,77612.01915006082,82453.51898513774
2024-05-10,80216.44078024838,77810.8070444625,82715.28919684366
2024-05-11,80444.67925657719,77911.93340901051,82925.50141083222
2024-05-12,80561.55522243738,78149.90543121591,83136.42117990616
2024-05-13,80473.55988086194,78167.18461913925,83006.52736972988
2024-05-14,80743.78153922805,78365.13850843818,83415.08502344585
2024-05-15,80793.23209487555,78141.49249604989,83185.19894095104
2024-05-16,80930.55668857042,78404.37862976558,83524.20586400476
2024-05-17,81150.26188540041,78359.52947070704,83689.36748241066
2024-05-18,81432.70596222724,78795.78921458931,83770.61679306683
2024-05-19,81597.4247986799,78964.06844921179,84290.49578638552
2024-05-20,81550.60544930176,79108.17746858222,84112.80534960255
2024-05-21,81855.10374734903,79130.09026424022,84542.17013016292
2024-05-22,81931.76622864351,79392.68592631776,84566.51012757978
2024-05-23,82089.13507852658,79570.66009761307,84579.3230066646
2024-05-24,82321.67167746366,79848.94393926227,85008.61243329714
2024-05-25,82609.74251419991,79831.01196068231,85371.2783476552
2024-05-26,82772.94112177972,79978.756986758,85244.82407833869
2024-05-27,82717.55823672513,79966.43066070047,85636.30479174046
2024-05-28,83006.59661613223,80273.86891217332,86027.36855005316
2024-05-29,83061.09084521288,80357.81120113852,85907.85430449777
2024-05-30,83189.8108422307,80336.8690110239,86100.47448269218
2024-05-31,83387.48460101985,80402.64639063983,86393.33976777189
2024-06-01,83634.78386777507,80813.07376429456,86695.34763533428
2024-06-02,83751.64630181008,80733.54739784767,86742.88877659073
2024-06-03,83644.7461861583,80697.86873055814,86397.34718659251
2024-06-04,83877.50996494397,80711.6463591055,86840.01268177912
2024-06-05,83871.43676504632,80587.71976395,86871.83209245131
2024-06-06,83935.80242348892,80734.21762834137,87006.99029427642
2024-06-07,84065.88237179357,80921.50873435766,87253.23403000056
2024-06-08,84242.9368887624,80854.47235387367,87454.48984821726
2024-06-09,84287.53209697253,80769.0186364566,87056.35909275727
2024-06-10,84107.00861207406,80614.56373007366,87260.0093636902
2024-06-11,84265.49398889118,81261.95015436069,87694.55436334036
2024-06-12,84185.21901849854,80660.92187033611,87568.77323762333
2024-06-13,84176.21632861724,80652.96251825437,87516.92790114677
